id,name,type,currency,market_value_gbp,var_99_5_1y_gbp
P001,UKT 4.25 2027,govt_bond,GBP,47932827.018785,790689.833516
P002,UKT 4.75 2030,govt_bond,GBP,48617961.025774,2964262.535943
P003,UKT 4.25 2032,govt_bond,GBP,45224131.701889,4041721.661477
P004,UKT 4.25 2036,govt_bond,GBP,26152646.305479,3566441.667413
P005,UKT 4.50 2042,govt_bond,GBP,14539203.335955,2634982.949855
P006,UKT 4.25 2046,govt_bond,GBP,9690324.984032,1979746.458129
P007,UST 2.875 2028,govt_bond,USD,47464240.802802,7345297.095842
P008,UST 0.625 2030,govt_bond,USD,38836450.005923,6389437.827428
P009,UST 3.875 2033,govt_bond,USD,25460557.939670,4631199.766261
P010,UST 4.00 2034,govt_bond,USD,19778059.767338,3703480.907253
P011,UST 2.00 2050,govt_bond,USD,7140230.204435,2038055.669386
P012,UST 4.00 2052,govt_bond,USD,8338940.281582,2223782.402804
P013,Apple Inc 3.85% 2043,corp_bond,USD,7796528.257185,1760672.585110
P014,Microsoft Corp 3.45% 2036,corp_bond,USD,13205774.358197,2588349.738443
P015,Nestle Holdings Inc 1.375% 2033,corp_bond,GBP,17404536.398455,1880384.546413
P016,Wellcome Trust Finance 4.625% 2036,corp_bond,GBP,12482157.359660,1653161.362114
P017,HSBC Holdings 6.00% 2040,corp_bond,GBP,9468809.795080,1488263.221115
P018,JPMorgan Chase 3.625% 2027,corp_bond,USD,31671526.653943,4830568.623845
P019,Total Capital Intl 3.455% 2029,corp_bond,USD,25966658.000691,4066647.534162
P020,Unilever 1.875% 2029,corp_bond,GBP,24031149.827516,1136574.132141
P021,Lloyds Banking Group 2.707% 2035,corp_bond,GBP,13351026.511735,1755880.017351
P022,Barclays PLC 3.25% 2033,corp_bond,GBP,18831122.027509,1715983.662338
P023,AT&T Inc 4.30% 2042,corp_bond,USD,7583466.258719,1635492.305600
P024,Verizon Communications 4.329% 2028,corp_bond,USD,27985838.089078,4309191.309593
P025,Vodafone Group 5.90% 2032,corp_bond,GBP,19187903.517372,1653386.517659
P026,Ocado Group 10.50% 2029,corp_bond,GBP,11483791.662307,843639.323104
P027,Virgin Media Secured Fin 4.25% 2030,corp_bond,GBP,13410709.538732,1035997.485902
P028,Ford Motor Credit 7.35% 2027,corp_bond,USD,15489819.518715,2357421.840107
PCF-001,PC Fund I - Senior Direct Lending (GBP),corp_bond,GBP,20073688.897586,2007032.335532
PCF-002,PC Fund II - Mid-Market Lending (USD),corp_bond,USD,17297654.140416,2898183.299754
PCF-003,PC Fund III - Opportunistic Credit (USD),corp_bond,USD,14985591.458281,2510802.363648
PCF-004,PC Fund IV - Real Estate Debt (GBP),corp_bond,GBP,15612869.142567,1561025.149858
P029,AstraZeneca PLC,equity,GBP,20974199.006634,6063447.736402
P030,Shell PLC,equity,GBP,20970291.090554,6062317.993860
P031,HSBC Holdings PLC,equity,GBP,15252095.973905,4409240.456769
P032,Unilever PLC,equity,GBP,14299755.973836,4133927.734892
P033,Rio Tinto PLC,equity,GBP,14297624.340685,4133311.499383
P034,Apple Inc,equity,USD,18044816.480517,7593409.602574
P035,Microsoft Corp,equity,USD,19870447.546150,8361650.414527
P036,Alphabet Inc Class A,equity,USD,14450692.582408,6080972.224770
P037,Johnson & Johnson,equity,USD,12637243.507190,5317857.696207
P038,JPMorgan Chase & Co,equity,USD,14443453.528896,6077925.970545
P039,ASML Holding NV,equity,GBP,17805793.475403,7112920.371987
P040,SAP SE,equity,GBP,15155688.047244,6054276.795450
P041,TotalEnergies SE,equity,GBP,13376960.163347,5343724.366598
P042,GBP cash (main),cash,GBP,40720570.000000,-0.000000
P043,GBP cash (collateral),cash,GBP,15270214.000000,-0.000000
P044,GBP cash (margin),cash,GBP,10180142.000000,-0.000000
P045,USD cash (main),cash,USD,15456073.028164,2367244.796313
P046,USD cash (custody),cash,USD,10046447.278524,1538709.088536
