id,name,type,currency,market_value_gbp,var_99_5_1y_gbp
P001,UKT 4.25 2027,govt_bond,GBP,47476303.787236,716170.504314
P002,UKT 4.75 2030,govt_bond,GBP,49067162.902858,2842655.326464
P003,UKT 4.25 2032,govt_bond,GBP,46022591.415625,3982656.078998
P004,UKT 4.25 2036,govt_bond,GBP,26963414.322336,3622300.728264
P005,UKT 4.50 2042,govt_bond,GBP,15200147.847711,2719246.638285
P006,UKT 4.25 2046,govt_bond,GBP,10191856.851091,2071928.441145
P007,UST 2.875 2028,govt_bond,USD,45881973.615846,7003985.672747
P008,UST 0.625 2030,govt_bond,USD,37837869.959504,6138232.504843
P009,UST 3.875 2033,govt_bond,USD,24987817.176525,4464241.794460
P010,UST 4.00 2034,govt_bond,USD,19444471.874301,3592428.546868
P011,UST 2.00 2050,govt_bond,USD,7221427.611672,2060623.068055
P012,UST 4.00 2052,govt_bond,USD,8395733.906642,2237687.867831
P013,Apple Inc 3.85% 2043,corp_bond,USD,7789774.416249,1737957.955028
P014,Microsoft Corp 3.45% 2036,corp_bond,USD,13042870.955150,2501955.663795
P015,Nestle Holdings Inc 1.375% 2033,corp_bond,GBP,17847474.220163,1853296.263451
P016,Wellcome Trust Finance 4.625% 2036,corp_bond,GBP,12877781.496561,1661412.430340
P017,HSBC Holdings 6.00% 2040,corp_bond,GBP,9864927.234431,1517259.460454
P018,JPMorgan Chase 3.625% 2027,corp_bond,USD,30507457.967637,4617704.671106
P019,Total Capital Intl 3.455% 2029,corp_bond,USD,25216873.743309,3903836.505887
P020,Unilever 1.875% 2029,corp_bond,GBP,24170129.800789,1055067.460309
P021,Lloyds Banking Group 2.707% 2035,corp_bond,GBP,13792948.154435,1757439.133456
P022,Barclays PLC 3.25% 2033,corp_bond,GBP,19227868.681137,1671196.616781
P023,AT&T Inc 4.30% 2042,corp_bond,USD,7592321.349490,1626949.861337
P024,Verizon Communications 4.329% 2028,corp_bond,USD,27075146.679294,4139099.233512
P025,Vodafone Group 5.90% 2032,corp_bond,GBP,19558196.707898,1609692.115161
P026,Ocado Group 10.50% 2029,corp_bond,GBP,11564666.358352,797173.637947
P027,Virgin Media Secured Fin 4.25% 2030,corp_bond,GBP,13520342.668526,980966.929867
P028,Ford Motor Credit 7.35% 2027,corp_bond,USD,14936321.916369,2243331.307856
PCF-001,PC Fund I - Senior Direct Lending (GBP),corp_bond,GBP,18012976.848119,1716133.458460
PCF-002,PC Fund II - Mid-Market Lending (USD),corp_bond,USD,14981126.073376,2464164.428818
PCF-003,PC Fund III - Opportunistic Credit (USD),corp_bond,USD,12978698.330895,2134795.916055
PCF-004,PC Fund IV - Real Estate Debt (GBP),corp_bond,GBP,14010093.104093,1334770.467691
P029,AstraZeneca PLC,equity,GBP,22089244.110746,6007321.929368
P030,Shell PLC,equity,GBP,22085178.273111,6006216.196847
P031,HSBC Holdings PLC,equity,GBP,16062969.998436,4368435.218453
P032,Unilever PLC,equity,GBP,15060013.186298,4095674.212166
P033,Rio Tinto PLC,equity,GBP,15057754.387611,4095059.916321
P034,Apple Inc,equity,USD,18236513.576873,7530222.537424
P035,Microsoft Corp,equity,USD,20081704.874293,8292139.064676
P036,Alphabet Inc Class A,equity,USD,14604133.601035,6030339.928654
P037,Johnson & Johnson,equity,USD,12771468.690817,5273595.798133
P038,JPMorgan Chase & Co,equity,USD,14596985.390947,6027388.289215
P039,ASML Holding NV,equity,GBP,19276392.151003,7315881.759921
P040,SAP SE,equity,GBP,16407621.659293,6227110.295360
P041,TotalEnergies SE,equity,GBP,14481913.365975,5496254.953362
P042,GBP cash (main),cash,GBP,40000000.000000,-0.000000
P043,GBP cash (collateral),cash,GBP,15000000.000000,-0.000000
P044,GBP cash (margin),cash,GBP,10000000.000000,-0.000000
P045,USD cash (main),cash,USD,14824697.946779,2230330.781756
P046,USD cash (custody),cash,USD,9636053.665407,1449715.008141
